objID,pid1,pid2
1237648722291523791,1237648722291523791,1237648722291523791
1237651801771278588,1237651801771278588,1237651801771278588
1237648722291720335,1237648722291720335,1237648722291720335
1237648721754849539,1237648721754849539,1237648721754849539
1237648721755177045,1237648721755177045,1237648721755177045
1237654670810087640,1237654670810087640,1237654670810087640
1237648722291851444,1237648722291851444,1237648722291851444
1237651801771737310,1237651801771737310,1237651801771737310
1237654670810153193,1237654670810153193,1237654670810153193
1237648720145416349,1237648720145416348,1237648720145416349
1237648720145416348,1237648720145416348,1237648720145416349
1237654669200326820,1237654669200326820,1237654669200326820
1237648720144695916,1237648720144695916,1237648720144695916
1237648720145613089,1237648720145613089,1237648720145613089
1237648720146464964,1237648720146464964,1237648720146464964
1237648720146923775,1237648720146923775,1237648720146923775
1237648720148234635,1237648720148234635,1237648720148234635
1237648720148300174,1237648720148300174,1237648720148300174
1237648720148627653,1237648720148627653,1237648720148627652
1237648720149741905,1237648720149741905,1237648720149741905
1237648720150134992,1237648720150134992,1237648720150134992
1237648720682287746,1237648720682287746,1237648720682287746
1237648720683008235,1237648720683008235,1237648720683008235
1237648720683204735,1237648720683204735,1237648720683204735
1237648720683270154,1237648720683270154,1237648720683270154
1237648720683270246,1237648720683270246,1237648720683270246
1237648720683532420,1237648720683532420,1237648720683532420
1237648720683925743,1237648720683925743,1237648720683925743
1237648720684056833,1237648720684056833,1237648720684056833
1237648720684122223,1237648720684122223,1237648720684122223
1237648720684712156,1237648720684712156,1237648720684712156
1237648720685498487,1237648720685498487,1237648720685498487
1237648720685498544,1237648720685498544,1237648720685498544
1237648720685564031,1237648720685564031,1237648720685564031
1237648720685564032,1237648720685564032,1237648720685564032
1237648720685629571,1237648720685629571,1237648720685629571
1237648720685826231,1237648720685826231,1237648720685826231
1237648720686088302,1237648720686088302,1237648720686088302
1237648720686153859,1237648720686153859,1237648720686153859
1237648720686612674,1237648720686612674,1237648720686612674
1237648720687595640,1237648720687595640,1237648720687595640
1237648720687661218,1237648720687661218,1237648720687661218
1237648720687726731,1237648720687726731,1237648720687726731
1237648720687792359,1237648720687792359,1237648720687792359
1237648720688120026,1237648720688120026,1237648720688120026
1237648720688775332,1237648720688775332,1237648720688775332
1237648721218633849,1237648721218633849,1237648721218633849
1237648721218699441,1237648721218699441,1237648721218699441
1237648721219092777,1237648721219092777,1237648721219092777
1237648721219223736,1237648721219223736,1237648721219223736
1237648721219420318,1237648721219420318,1237648721219420318
1237648721219616970,1237648721219616970,1237648721219616970
1237648721219879116,1237648721219879116,1237648721219879116
1237648721220010034,1237648721220010034,1237648721220010034
1237648721220403383,1237648721220403383,1237648721220403383
1237648721221189764,1237648721221189764,1237648721221189764
1237648721221779641,1237648721221779641,1237648721221779641
1237648721222041743,1237648721222041743,1237648721222041743
1237648721222172860,1237648721222172860,1237648721222172860
1237648721222238377,1237648721222238377,1237648721222238377
1237648721222238491,1237648721222238491,1237648721222238491
1237648721222303946,1237648721222303946,1237648721222303946
1237648721222369496,1237648721222369496,1237648721222369496
1237648721223286976,1237648721223286976,1237648721223286976
1237648721223352379,1237648721223352379,1237648721223352379
1237648721223680257,1237648721223680257,1237648721223680257
1237648721223745647,1237648721223745647,1237648721223745647
1237648721223811251,1237648721223811251,1237648721223811251
1237648721224138843,1237648721224138843,1237648721224138843
1237648721224204454,1237648721224204454,1237648721224204454
1237648721224401165,1237648721224401165,1237648721224401165
1237648721224859740,1237648721224859740,1237648721224859740
1237648721224859857,1237648721224859857,1237648721224859857
1237648721224925289,1237648721224925289,1237648721224925289
1237648721224990996,1237648721224990996,1237648721224990996
1237648721225056471,1237648721225056471,1237648721225056471
1237648721225253039,1237648721225253039,1237648721225253039
1237648721225253091,1237648721225253091,1237648721225253091
1237648721225580713,1237648721225580713,1237648721225580713
1237648721225646280,1237648721225646280,1237648721225646280
1237648721755570497,1237648721755570497,1237648721755570497
1237648721755701402,1237648721755701402,1237648721755701402
1237648721755964095,1237648721755964095,1237648721755964095
1237648721756422316,1237648721756422316,1237648721756422316
1237648721756553329,1237648721756553329,1237648721756553329
1237648721756553331,1237648721756553331,1237648721756553331
1237648721757012168,1237648721757012168,1237648721757012168
1237648721757143285,1237648721757143285,1237648721757143285
1237648721757929604,1237648721757929604,1237648721757929604
1237648721758060702,1237648721758060702,1237648721758060702
1237648721758912670,1237648721758912671,1237648721758912671
1237648721759568016,1237648721759568016,1237648721759568016
1237648721759633646,1237648721759633646,1237648721759633646
1237648721759699054,1237648721759699054,1237648721759699054
1237648721760419955,1237648721760419955,1237648721760419955
1237648721760420058,1237648721760420058,1237648721760420058
1237648721760616586,1237648721760616586,1237648721760616586
1237648721760813192,1237648721760813192,1237648721760813192
1237648722292244552,1237648722292244552,1237648722292244552
1237648722293883062,1237648722293883062,1237648722293883062
1237648722294145296,1237648722294145296,1237648722294145296
1237648722294210614,1237648722294210614,1237648722294210614
1237648722294276393,1237648722294276393,1237648722294276393
1237648722294866068,1237648722294866068,1237648722294866068
1237648722295783547,1237648722295783547,1237648722295783547
1237648722295849064,1237648722295849064,1237648722295849064
1237648722295914641,1237648722295914641,1237648722295914641
1237648722296045577,1237648722296045577,1237648722296045577
1237648722296438890,1237648722296438890,1237648722296438890
1237648722297028802,1237648722297028802,1237648722297028802
1237648722297356423,1237648722297356423,1237648722297356423
